,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
0,21.0,9599.999999999993,OWN,5.0,EDUCATION,B,1000.0,11.14,0.1,N,2.0,0
1,25.0,9599.999999999993,MORTGAGE,1.0,MEDICAL,C,5500.0,12.87,0.57,N,3.0,1
2,23.0,65500.0,RENT,4.0,MEDICAL,C,35000.0,15.23,0.53,N,2.0,1
3,24.0,54400.0,RENT,8.0,MEDICAL,C,35000.0,14.27,0.55,Y,4.0,1
4,21.0,9900.0,OWN,2.0,VENTURE,A,2500.0,7.139999999999999,0.25,N,2.0,1
5,26.0,77100.0,RENT,8.0,EDUCATION,B,35000.0,12.42,0.44999999999999996,N,3.0,1
6,24.0,78956.0,RENT,5.0,MEDICAL,B,35000.0,11.11,0.43999999999999995,N,4.0,1
7,24.0,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,0.42000000000000004,N,2.0,1
8,21.0,9999.999999999993,OWN,6.0,VENTURE,D,1599.999999999999,14.74,0.16,N,3.0,1
9,22.0,85000.0,RENT,6.0,VENTURE,B,35000.0,10.37,0.41000000000000003,N,4.0,1
10,21.0,9999.999999999993,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,0.44999999999999996,N,2.0,1
11,23.0,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,0.37,N,2.0,1
12,26.0,108160.0,RENT,4.0,EDUCATION,E,35000.0,18.39,0.32,N,4.0,1
13,23.0,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,0.3,N,4.0,0
14,23.0,500000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000.0,10.65,0.06000000000000001,N,3.0,0
15,23.0,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,0.29,N,4.0,0
16,23.0,92111.0,RENT,7.0,MEDICAL,F,35000.0,20.25,0.32,N,4.0,1
17,23.0,113000.0,RENT,8.0,DEBTCONSOLIDATION,D,35000.0,18.25,0.31,N,4.0,1
18,24.0,10799.999999999993,MORTGAGE,8.0,EDUCATION,B,1750.000000000001,10.99,0.16,N,2.0,1
19,25.0,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,0.22,N,4.0,0
20,25.0,137000.0,RENT,9.0,PERSONAL,E,34800.0,16.77,0.25,Y,2.0,0
21,22.0,65000.0,RENT,4.0,EDUCATION,D,34000.0,17.58,0.52,N,4.0,1
22,24.0,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,0.14,N,3.0,0
23,22.0,80000.0,RENT,3.0,PERSONAL,D,33950.0,14.54,0.42000000000000004,Y,4.0,1
